trippoint_id,point_timestamp,latitude,longitude,category,speed,speed_limit,bearing,trip_id
6987900810,2015-09-12 17:56:41,41.9734,12.547633,5,50.0,50.0,40.0,1496612065
6953614142,2015-09-07 07:49:53,41.973433,12.547616,1,110.0,130.0,300.0,1489110554
6990649936,2015-09-13 18:54:00,41.973433,12.547633,1,108.0,130.0,300.0,1497920496
7076670345,2015-09-27 16:26:02,41.973416,12.547633,5,106.0,40.0,300.0,1516305793
7011436912,2015-09-17 06:46:59,41.973383,12.547616,5,116.0,40.0,300.0,1501973450
6920581771,2015-09-02 04:43:08,41.973433,12.547566,1,120.0,130.0,300.0,1482284744
6988022839,2015-09-13 10:39:21,41.97335,12.547566,5,58.0,50.0,38.0,1498226734
7068510538,2015-09-22 16:53:21,41.973416,12.547616,5,146.0,40.0,300.0,1514315275
6993008920,2015-09-13 22:10:24,41.97335,12.547616,5,92.0,40.0,120.0,1497539103
6960893300,2015-09-09 04:45:24,41.97335,12.547616,5,148.0,40.0,120.0,1490887005
6986807327,2015-09-12 10:29:09,41.973366,12.54755,1,112.0,130.0,120.0,1496381082
6983542352,2015-09-12 13:33:14,41.973362,12.547643,5,54.0,40.0,46.0,1495694489
6934039336,2015-09-04 11:46:02,41.97335,12.547616,5,60.0,50.0,46.0,1485189476
7039266700,2015-09-21 12:49:27,41.973366,12.547633,5,40.0,50.0,46.0,1507697998
6981852124,2015-09-12 08:02:42,41.973383,12.547583,5,100.0,40.0,120.0,1495332463
6922365322,2015-09-02 17:30:31,41.97335,12.547633,5,52.0,50.0,50.0,1491793668
7014895254,2015-09-17 08:29:18,41.97335,12.547566,5,118.0,40.0,120.0,1502524607
6913041212,2015-09-01 09:02:58,41.973394,12.547591,5,144.0,40.0,120.0,1480652203
6940473529,2015-09-05 00:36:52,41.973416,12.547616,5,124.0,40.0,300.0,1486534418
6997644989,2015-09-14 22:03:21,41.973416,12.5476,5,84.0,40.0,120.0,1500637448
6954737192,2015-09-08 05:29:09,41.973383,12.547633,5,62.0,50.0,44.0,1490329116
7093284351,2015-09-29 10:44:40,41.973433,12.547566,1,112.0,130.0,300.0,1519738137
6991633141,2015-09-13 20:18:06,41.97335,12.547616,5,108.0,40.0,120.0,1497242787
6964283702,2015-09-09 10:27:53,41.973366,12.547616,5,126.0,40.0,120.0,1491455687
7040525201,2015-09-21 18:23:29,41.973366,12.54755,1,118.0,130.0,120.0,1508163567
7032034840,2015-09-19 17:02:30,41.973366,12.547633,5,112.0,40.0,120.0,1506255347
6952776324,2015-09-06 20:07:04,41.973366,12.547616,5,116.0,40.0,120.0,1488927135
6961386788,2015-09-08 16:04:31,41.973416,12.5476,5,104.0,40.0,300.0,1490806519
7086918272,2015-09-29 08:09:25,41.973416,12.547616,5,120.0,40.0,300.0,1518256748
7013741891,2015-09-17 11:25:35,41.973366,12.5476,5,62.0,50.0,50.0,1502296143
7104183478,2015-09-27 11:42:31,41.973383,12.547633,5,50.0,50.0,38.0,1522230772
6961474668,2015-09-07 12:38:47,41.973366,12.547583,5,56.0,50.0,46.0,1490828043
6959872929,2015-09-08 15:32:47,41.973383,12.547566,5,32.0,40.0,120.0,1490486882
7067620927,2015-09-26 06:24:21,41.973433,12.547566,1,100.0,130.0,300.0,1514816675
3435523802,2013-11-23 18:23:43,41.973366,12.547633,5,44.0,20.0,50.0,703547831
3451281270,2013-11-26 06:56:35,41.97335,12.547566,5,50.0,20.0,44.0,707071731
3393782903,2013-11-14 10:12:45,41.973383,12.547633,5,136.0,20.0,120.0,694010748
3420498269,2013-11-20 14:58:54,41.973366,12.547633,5,104.0,20.0,120.0,700037355
